Table 1. Data Dictionary ,,,,,,,,,,,,,,,,,
variable name,variable,unit,,source/method,,,,,,,,,,,,,
species,,,,,,,,,,,,,,,,,
n_presences,number of presence records used for modeling (including records from presence-absence sampling and presence-only),,,,,,,,,,,,,,,,
n_absences,number of absence records used for modeling,,,,,,,,,,,,,,,,
n_presence_only,number of presence-only records included for modeling,,,,,,,,,,,,,,,,
AUC_mean,average AUC of consensus SDMs,n.a. ,,Area Under the Recever Operating Characteristic Curve (discrimination performance metric),,,,,,,,,,,,,
TSS_mean,average TSS of consensus SDMs,n.a. ,,,,,,,,,,,,,,,
Boyce_mean,average Boyce index of consensus SDMs,n.a. ,,,,,,,,,,,,,,,
range_size,geographic range size,km_,,area of the minimum convex polygon that contains all species occurrence records used for modeling,,,,,,,,,,,,,
niche_breadth,environmental niche breadth,n.a. ,,,,,,,,,,,,,,,
range_topo,,,,,,,,,,,,,,,,,
mean_topo,,,,,,,,,,,,,,,,,
range_elev,,,,,,,,,,,,,,,,,
mean_elev,,,,,,,,,,,,,,,,,
prev,prevalence (ratio of presence to absence records used in SDMs),n.a. ,,,,,,,,,,,,,,,
full_disp_hsc_SD,standard deviation in species-level habitat suitability change under full dispersal,,,,,,,,,,,,,,,,
no_disp_hsc_SD,standard deviation in species-level habitat suitability change under no dispersal,,,,,,,,,,,,,,,,
full_disp_hsc_mean,average species-level habitat suitability change under full dispersal,,,,,,,,,,,,,,,,
no_disp_hsc_mean,average species-level habitat suitability change under no dispersal,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Table 2. Data,,,,,,,,,,,,,,,,,
species,n_presences,n_absences,n_presence_only,AUC_mean,TSS_mean,Boyce_mean,range_size,niche_breadth,range_topo,mean_topo,range_elev,mean_elev,prev,full_disp_hsc_SD,no_disp_hsc_SD,full_disp_hsc_mean,no_disp_hsc_mean
Abies magnifica,2056,6268,210,0.94,0.79,0.86,122318.86,5.87,0.47,0.55,617.95,2353.73,0.25,0.48,0.21,0.46,-0.15
Adenostoma sparsifolium,532,3348,114,0.87,0.74,0.86,31451.73,3.4,0.47,0.44,620.67,1088.23,0.14,4.28,0.19,5.81,-0.31
Aesculus californica,3816,11049,2934,0.96,0.82,0.97,206753.54,4.7,0.42,0.53,576.2,580.65,0.26,0.21,0.18,-0.24,-0.59
Arctostaphylos glandulosa,756,6319,377,0.91,0.71,0.85,205228.67,4.68,0.41,0.56,985.37,772.34,0.11,0.98,0.16,2.94,0.02
Arctostaphylos glauca,1409,11016,866,0.92,0.73,0.96,180863.08,4.12,0.38,0.51,636.25,944.01,0.11,0.95,0.18,0.11,-0.47
Arctostaphylos pringlei,106,2414,43,0.99,0.98,0.76,8770.04,2.43,0.42,0.55,517.27,1671.28,0.04,6.69,0.31,33.52,-0.28
Arctostaphylos rudis,66,1000,41,0.99,0.97,0.92,553.67,1.13,0.18,0.14,108.93,124.45,0.06,32.49,0.33,59.06,-0.12
Artemisia californica,3875,2048,1229,0.79,0.47,0.94,134537.69,4.19,0.43,0.41,512.04,313.82,0.65,1,0.14,3.17,-0.23
Artemisia rothrockii,31,4046,13,0.76,0.53,0.98,6505.64,5.91,0.68,0.38,568.57,2874.2,0.01,48.66,0.19,61.58,-0.78
Asclepias eriocarpa,431,11311,396,0.86,0.63,0.77,199277.24,4.46,0.47,0.32,1336.98,570.89,0.04,1.34,0.13,2.56,-0.05
Asclepias fascicularis,1042,11255,902,0.87,0.61,0.89,245339.9,5.49,0.5,0.29,965.68,366.51,0.08,0.24,0.09,0.14,-0.13
Calocedrus decurrens,4861,8846,854,0.87,0.6,0.98,283224.86,6.79,0.44,0.57,756.44,1413.39,0.35,0.14,0.07,0.11,-0.24
Calochortus albus,572,8037,456,0.87,0.65,0.74,168563.24,3.49,0.49,0.48,736.31,424.01,0.07,0.44,0.16,1.29,0.03
Ceanothus greggii,140,6640,28,0.99,0.96,0.66,38159.46,3.99,0.48,0.41,622.59,1333.14,0.02,0.27,0.09,0.03,-0.64
Ceanothus megacarpus,659,3157,123,0.87,0.63,0.92,40241.27,2.57,0.39,0.57,400.47,380.91,0.17,10.94,0.28,20.88,0.33
Ceanothus oliganthus,493,6306,205,0.88,0.67,0.87,111065.88,3.8,0.41,0.53,572.95,604.31,0.07,0.42,0.11,1.45,-0.28
Ceanothus tomentosus,165,6485,110,0.94,0.8,0.84,52500.31,4.6,0.45,0.48,705.65,449.02,0.02,2.53,0.11,9.76,-0.5
Ceanothus verrucosus,64,2431,36,0.95,0.87,0.96,1162.55,3.47,0.43,0.31,268.44,133.49,0.03,5.78,0.26,15.04,-0.35
Chamaebatia foliolosa,690,6739,216,0.94,0.8,0.95,37821.62,5.14,0.41,0.62,762.02,1424.68,0.09,0.53,0.16,2.16,-0.25
Croton setiger,1081,11293,1081,0.89,0.65,0.81,265630.42,5.17,0.48,0.26,837.25,315.76,0.09,0.21,0.1,0.14,-0.21
Delphinium hesperium,142,11323,134,0.92,0.77,0.96,138614.15,4.59,0.38,0.44,900.37,561.34,0.01,0.74,0.16,0.11,-0.7
Dichelostemma capitatum,2781,10463,1615,0.88,0.63,0.96,267530.1,4.98,0.5,0.41,881.1,451.76,0.21,0.1,0.07,-0.17,-0.31
Encelia californica,1190,2950,449,0.85,0.63,0.75,64991.31,3.92,0.38,0.41,316.6,230.55,0.29,1.81,0.18,5.63,0.17
Ericameria ericoides,173,7482,135,0.92,0.78,0.86,101614.86,3.38,0.46,0.22,370.18,140.75,0.02,2.05,0.35,3.84,-0.17
Erigeron petrophilus,83,8698,83,0.73,0.48,0.99,93556.21,7.51,0.33,0.68,1099.08,1108.66,0.01,236.29,0.49,387.02,-0.28
Eriodictyon trichocalyx,204,7481,144,0.92,0.78,0.72,51919.15,4.65,0.48,0.54,1216.41,1130.43,0.03,0.68,0.12,0.87,-0.14
Eriogonum fasciculatum,4249,9649,1568,0.93,0.76,0.95,199215.68,4.56,0.49,0.43,1012.79,577.91,0.31,0.2,0.07,0.16,-0.1
Frangula californica,956,11307,851,0.9,0.67,0.88,269936.01,5.65,0.53,0.43,1317.95,437.35,0.08,0.3,0.09,0.71,-0.04
Galium angustifolium,931,3325,354,0.77,0.49,0.7,121748.56,4.34,0.44,0.55,1210.34,746.82,0.22,1.14,0.11,4.59,-0.12
Hesperoyucca whipplei,3323,6636,1146,0.84,0.57,0.96,129329.83,4.28,0.45,0.52,1019.28,680.6,0.33,0.63,0.07,1.33,-0.03
Heteromeles arbutifolia,4295,10026,1646,0.9,0.69,0.94,258529.12,4.87,0.46,0.47,669.62,388.32,0.3,0.58,0.13,1.54,0.16
Juglans californica,874,7322,175,0.87,0.65,0.75,136537.58,4.04,0.45,0.44,494.46,332.23,0.11,2.51,0.24,5.95,0.34
Juncus balticus,286,11300,286,0.85,0.57,0.92,234796.48,7.74,0.45,0.2,2002.32,506.52,0.02,0.51,0.11,0.07,-0.48
Keckiella antirrhinoides,257,3442,92,0.92,0.77,0.66,34934.52,3.07,0.5,0.46,786.88,587.1,0.07,0.85,0.1,0.77,-0.53
Lepechinia calycina,278,11285,190,0.94,0.8,0.72,134704.49,3.71,0.42,0.52,546.26,500.01,0.02,0.9,0.15,1.22,-0.17
Lonicera subspicata,601,7547,418,0.79,0.53,0.73,141916.23,4.16,0.45,0.46,1130.69,608.82,0.07,7.41,0.07,5.4,-0.26
Lupinus arboreus,119,6449,95,0.96,0.84,0.89,67698.95,4.9,0.47,0.25,336.35,97.94,0.02,2.35,0.13,4.6,-0.38
Malosma laurina,2998,2250,851,0.89,0.73,0.87,81277.53,3.38,0.43,0.46,418.66,328.14,0.57,1.61,0.07,6.22,-0.05
Opuntia littoralis,692,2218,252,0.83,0.58,0.9,39764.52,4.05,0.4,0.33,353.43,201.39,0.24,1.1,0.3,3.37,-0.41
Picea breweriana,131,2933,25,0.89,0.71,0.84,7928.68,4.76,0.24,0.78,546.82,1558.16,0.04,2.93,0.2,9.34,-0.42
Pickeringia montana,274,10702,243,0.91,0.71,0.82,173935.77,4.32,0.37,0.53,629.52,515.44,0.02,0.87,0.26,1.46,0.11
Pinus attenuata,321,10434,106,0.86,0.61,0.95,197299.96,9.78,0.39,0.62,654.32,832.33,0.03,0.67,0.1,1.35,-0.14
Pinus balfouriana,528,6693,20,0.98,0.89,0.91,60678.9,2.58,0.34,0.69,402.3,3079.38,0.07,0.58,0.11,0.03,-0.78
Pinus coulteri,1259,3350,872,0.88,0.72,0.79,104766.83,4.05,0.38,0.59,775.48,1170.39,0.27,0.8,0.14,4.71,-0.27
Pinus jeffreyi,3588,9564,579,0.87,0.61,0.95,269241.37,7.16,0.47,0.56,859.36,1937.99,0.27,0.24,0.17,-0.02,-0.28
Pinus lambertiana,4308,8790,483,0.87,0.62,0.96,270603.66,6.6,0.39,0.64,890.74,1435.91,0.33,0.2,0.06,0.22,-0.25
Pinus muricata,267,6431,200,0.95,0.79,0.93,169793.67,5.79,0.37,0.27,233.97,174.51,0.04,2.43,0.16,5.22,-0.01
Pinus quadrifolia,62,2428,34,0.99,0.96,0.87,10581.66,3.27,0.54,0.35,422.35,1429.05,0.02,10.83,0.06,21.88,-0.93
Pinus sabiniana,3104,10672,1311,0.94,0.8,0.97,194532.09,4.8,0.46,0.5,786.85,662.58,0.23,0.17,0.15,-0.37,-0.57
Pinus torreyana,22,2429,19,0.99,0.98,0.98,10342.83,3.17,0.22,0.26,41.77,68.45,0.01,9.96,0.27,24.27,-0.03
Platanus racemosa,1921,11088,1221,0.94,0.75,0.97,213534.64,4.95,0.54,0.36,774.58,311.02,0.15,0.34,0.1,0.43,-0.05
Poa stebbinsii,49,4031,18,0.88,0.76,0.96,4705.31,5.32,0.54,0.45,319.01,3121.36,0.01,0.44,0.19,-0.01,-0.48
Prunus ilicifolia,1171,10114,466,0.89,0.67,0.89,175447.12,4.26,0.46,0.52,988.84,594.37,0.1,0.64,0.06,1.71,-0.12
Pseudotsuga macrocarpa,1091,3459,744,0.94,0.82,0.81,29817.65,1.81,0.23,0.79,537.99,1385,0.24,0.97,0.19,2.23,-0.35
Ptilagrostis kingii,59,4017,15,0.96,0.87,0.95,5054.78,6.3,0.5,0.4,373.92,3028.88,0.01,0.61,0.21,-0.29,-0.69
Quercus agrifolia,3403,5803,1442,0.87,0.64,0.92,201902.9,4.7,0.45,0.41,664.51,360.33,0.37,0.32,0.05,1.34,0.02
Quercus chrysolepis,4714,9171,664,0.89,0.63,0.99,291381.52,6.59,0.34,0.69,966.9,1132.17,0.34,0.2,0.09,0.01,-0.25
Quercus douglasii,4518,10756,2582,0.96,0.82,0.96,200064.26,3.72,0.45,0.42,643.95,551.72,0.3,0.18,0.14,-0.57,-0.68
Quercus engelmannii,181,2423,98,0.89,0.75,0.89,13564.01,4.85,0.46,0.34,724.56,522.88,0.07,2.67,0.21,9.38,-0.28
Quercus kelloggii,4699,9662,1074,0.91,0.68,0.99,280708.22,5.55,0.44,0.58,1019.34,1134.15,0.33,0.1,0.09,-0.04,-0.23
Quercus lobata,3050,11183,2158,0.94,0.73,0.98,198017.42,4.71,0.48,0.2,682.28,295.57,0.21,0.19,0.12,-0.29,-0.5
Quercus sadleriana,472,2583,20,0.85,0.59,0.91,10247.76,4.29,0.31,0.7,504.96,1334.1,0.15,2.38,0.24,1.93,-0.69
Quercus wislizeni,3112,11063,900,0.92,0.74,0.98,262294.48,4.54,0.51,0.49,1260.04,739.58,0.22,0.14,0.12,-0.31,-0.55
Rhododendron occidentale,442,10993,251,0.85,0.58,0.93,211292.76,8.44,0.46,0.53,1117.39,941.1,0.04,2.46,0.11,3.85,0.03
Rhus integrifolia,1281,2011,500,0.73,0.41,0.74,34958.02,4.22,0.41,0.38,266.99,176.95,0.39,2.05,0.21,5.82,-0.08
Rhus ovata,1971,2725,494,0.86,0.6,0.76,109490.41,3.78,0.45,0.48,770.84,532.98,0.42,2.36,0.1,4.62,-0.02
Ribes lasianthum,39,6461,7,0.76,0.51,0.97,14764.72,3.44,0.24,0.79,463.4,2665.81,0.01,7.24,0.45,14.13,-0.14
Ribes malvaceum,437,10558,223,0.86,0.66,0.83,145461.48,3.93,0.41,0.51,615.38,452.82,0.04,3.03,0.21,5.63,-0.08
Rosa californica,1070,11216,694,0.89,0.64,0.92,273878.55,5.9,0.54,0.26,1222.64,304.96,0.09,0.56,0.1,0.66,-0.07
Salix lasiolepis,1660,11074,810,0.89,0.63,0.98,287459.76,6.25,0.59,0.28,1226.55,317.81,0.13,0.39,0.1,0.52,0.03
Salvia apiana,1211,3310,606,0.88,0.67,0.78,103617.24,4.21,0.48,0.42,874.23,533.92,0.27,1.07,0.14,2.17,-0.27
Salvia columbariae,941,10499,452,0.9,0.67,0.81,197193.03,4.57,0.48,0.45,851.17,676.44,0.08,0.26,0.11,-0.18,-0.46
Salvia leucophylla,1214,2884,281,0.76,0.48,0.82,74798.36,3.51,0.34,0.43,507.05,338.13,0.3,3.32,0.34,10.88,0.04
Salvia mellifera,3075,2363,1081,0.82,0.56,0.9,119704.06,4.29,0.43,0.46,513.03,385.99,0.57,1.89,0.04,4.52,-0.02
Sambucus nigra,1043,11316,866,0.87,0.62,0.93,275663.91,5.88,0.59,0.31,1363.3,383.94,0.08,0.58,0.1,0.51,-0.08
Scutellaria californica,97,8707,79,0.89,0.71,0.96,105211.67,5.33,0.47,0.55,1285.56,674.78,0.01,226.03,0.28,305.06,0.03
Sequoia sempervirens,968,4008,456,0.96,0.87,0.88,74176.84,4.21,0.38,0.49,404.24,268.9,0.19,0.18,0.07,0.36,-0.16
Sequoiadendron giganteum,2854,3978,64,0.85,0.66,0.87,11397.83,3.58,0.35,0.67,382.52,1933.25,0.42,2.53,0.26,3.06,-0.61
Torreya californica,232,8659,100,0.94,0.77,0.85,113349,3.2,0.34,0.68,1018.36,750.08,0.03,0.46,0.19,1.4,0.17
Trichostema lanatum,320,6373,220,0.82,0.6,0.77,105632.14,4.25,0.41,0.5,839.34,567.44,0.05,3.88,0.13,8.11,0.05
Umbellularia californica,3154,10634,1272,0.91,0.7,0.96,246600.28,6.15,0.45,0.57,948.35,511.16,0.23,0.24,0.08,0.63,0.18
Xylococcus bicolor,338,2425,184,0.95,0.87,0.73,14176.86,3.14,0.4,0.4,371.49,295.86,0.12,2.47,0.16,7.31,-0.52
